id,company_name,website,categorie,employees,revenue,city,region,description
a34bb3d76a8d6028340614c55e7d3c70,FORESTIA Group,https://forestia-group.com,Lumber and Other Construction Materials Merchant W,51-200,25M-75M,lambersart,,"The Forestia Group design and distribute environmentally-friendly landscaping products. Reliable, sustainable, bio-sourced products with a low carbon footprint. Wood and wood composite products for decking, fencing and cladding, as well as planters, garden sheds, pergolas and carports. Forestia Grou"
538cbd3b2241c375c5902ab26a0f4131,RezoProcess,https://rezoprocess.fr,Construction,1-10,500K-1M,annecy,auvergne-rhône-alpes,"Depuis le 1er janvier 2018, les entreprises de reseaux doivent livrer des plans de recolement precis (classe A) faisant egalement figurer les reseaux existants decouverts a loccasion des travaux, et georeferences par un prestataire certifie. Afin de mettre en application cette reforme, nous avons cr"
b4b823208669783078d7c0526e204926,Feralu / e-metallerie-pro.fr,https://feralu-metallerie.fr,Construction,11-50,1M-5M,,,"Specialiste de la fabrication sur mesure de toutes vos installations metalliques et metallurgiques. Nos equipes parfaitement formees sauront effectuer dans les regles de l'art toutes les missions qui leurs sont confiees : escaliers, garde-corps, portails, ..."
3e608dd41f3af48fa87dd83a27550218,Sky'inLab,https://skyinlab.fr,Construction,51-200,10M-25M,montastruc-la-conseillère,occitanie,"SkyinLab, PARTOUT EN FRANCE / Leader de la reparation apres-sinistre de tous les supports ALU-ACIER-PVC du batiment / Service de serrurerie National integre. + Chiffrage sur photos + Devis en 48h + Bordereaux de prix faciles REPARATION ET LAQUAGE DE TOUS LES SUPPORTS ALU - ACIER - PVC DU BATIMENT --"
5fd056ec625c5ac6d20a0adfb8c2b03d,METAL 360,https://metal360.fr,Construction,11-50,1M-5M,,,METAL 360 est une entreprise basee sur la conception d'ouvrage metallique haut de gamme.
a4cf96f7113e84227ba09b15b9bdc444,Les Compagnons de Saint-Jacques,https://lescompagnonsdesaintjacques.fr,Construction,51-200,10M-25M,barbezieux st hilaire,,"Specialises dans la restauration du patrimoine ancien et historique en Aquitaine et dans les Charentes, les Compagnons de Saint Jacques sont reconnus depuis plus de 50 ans pour la qualite de leur travail. Associes aux ouvrages les plus prestigieux comme les plus modestes, les Compagnons de Saint-Jac"
08a8190b34e5accbce32f3f942c1ec62,MANTION,https://mantion.com,Lumber and Other Construction Materials Merchant W,51-200,25M-75M,besancon,,"MANTIONEuropean sliding system specialist since 1920. Since 1920, MANTION has designed, manufactured and distributed sliding systems for the construction industrysuch as door, gate and shutter fittingsfrom its outfit in Besancon, France. It caters for the residential market through its building trad"
810d0fce23e30ea46543a5612296753d,"SOFTICA, ACTIVATEUR D'ACCÈS",https://softica.fr,Construction,51-200,10M-25M,,,"SOFTICA est un fabricant francais de portes automatiques. SOFTICA concoit, fabrique, commercialise et maintient sa propre gamme de portes automatiques pietonnes, etanches, communicantes et dinterieur. Implantee en France, pres de Chambery (Savoie), Softica est a votre service par le biais d'agences "
bbbe0a6cc09dbceaa8064d21361a4674,MENUISERIE NICOLAS BESNARD,https://menuiserie-nicolas-besnard.fr,Construction,11-50,1M-5M,,,"L'entreprise MENUISERIE NICOLAS BESNARD a ete cree il y a 12 ans, en fevrier 2011. Nous intervenons sur le marche de la renovation de l'habitat, plus particulierement dans le domaine de la menuiserie / fermeture et l'isolation interieure et exterieure. L'entreprise compte actuellement 29 salaries."
512b74dbfc857e266754909320e411df,SODITRADE,https://soditrade.com,Construction,1-10,500K-1M,stains,,"Fournisseur de l'enveloppe acier du batiment: panneaux a joint debout acier, toles de toiture et panneaux tuiles."
