maps,nom,note,avis,metier, adresse,tel,site
"https://www.google.com/maps/place/RG+%C3%89nergies+35+%E2%80%93+Plomberie,+Chauffage,+%C3%89lectricit%C3%A9+%E2%80%93+Cintr%C3%A9+%2F+Rennes./data=!4m7!3m6!1s0x411895cb48a663a3:0x81d2af3c3dbfa448!8m2!3d48.103808!4d-1.886057!16s%2Fg%2F11vf0zdf5g!19sChIJo2OmSMuVGEERSKS_PTyv0oE?authuser=0&hl=fr&rclk=1","RG Énergies 35 – Plomberie, Chauffage, Électricité – Cintré / Rennes.",5,-12,Plombier,20 La Barbais,06 02 52 15 79,https://www.google.com/aclk?sa=L&ai=DChsSEwiV4-mZvL2UAxUojWgJHQetCOcYACICCAEQAhoCd2Y&co=1&ase=2&gclid=CjwKCAjwq6DQBhBVEiwA4ZD5XM465eYn_-Io2X0jXn45-R4sg3asVcT2J2FNWtuWfvgakc4tAgyY2hoCVhwQAvD_BwE&cce=2&category=acrcp_v1_32&sig=AOD64_0eJK8WX90Q3WZ_YGhfapB7QLVs6A&adurl&q&ctype=99&nis=6
https://www.google.com/maps/place/SDG+Services+Chauffage+Plomberie/data=!4m7!3m6!1s0x480edfb66a9bf2bb:0x8d384d0215c387ea!8m2!3d48.1250851!4d-1.6367723!16s%2Fg%2F11px8jdnc9!19sChIJu_KbarbfDkgR6ofDFQJNOI0?authuser=0&hl=fr&rclk=1,SDG Services Chauffage Plomberie,"4,8",-76,Chauffagiste,"Square de l, 5 Sq. Amiral André Roux",06 95 42 32 61,https://sdg-chauffage.fr/
https://www.google.com/maps/place/Fabiani-Pirio/data=!4m7!3m6!1s0x480ee0561cf5e8b1:0x8b120ac252700762!8m2!3d48.1072703!4d-1.7325113!16s%2Fg%2F11cs015cdf!19sChIJsej1HFbgDkgRYgdwUsIKEos?authuser=0&hl=fr&rclk=1,Fabiani-Pirio,"4,9",-93,Chauffagiste,4 Rue du Lieutenant Colonel Dubois,02 99 63 06 41,https://www.fabianipirio-plomberie-chauffage.com/
https://www.google.com/maps/place/Entretien+et+d%C3%A9pannage+chaudi%C3%A8re+gaz+et+fioul+-+RITTER+SAV+35/data=!4m7!3m6!1s0x480ede2a5edf8001:0xf9554f3cc4173089!8m2!3d48.1044712!4d-1.6757993!16s%2Fg%2F11c3zn936d!19sChIJAYDfXireDkgRiTAXxDxPVfk?authuser=0&hl=fr&rclk=1,Entretien et dépannage chaudière gaz et fioul - RITTER SAV 35,"4,9",-98,Chauffagiste,"ESPLANADE DU, 16 Esp. du Champ de Mars",06 59 58 76 98,http://rittersav.fr/
https://www.google.com/maps/place/LESPRIT+REIGNER/data=!4m7!3m6!1s0x480edf3d33da24d9:0x4efeba6c6d0d044!8m2!3d48.0969251!4d-1.6523305!16s%2Fg%2F11j4lp0sjd!19sChIJ2STaMz3fDkgRRNDQxqbr7wQ?authuser=0&hl=fr&rclk=1,LESPRIT REIGNER,5,-52,Plombier,"4 Rue le Dantec, 16 Rue du pré du bois",06 14 30 01 20,https://lesprit-reigner.fr/
https://www.google.com/maps/place/Chauffage+Ecoplus/data=!4m7!3m6!1s0x480edf70935daf2d:0xeba7bce4772fb45a!8m2!3d48.134541!4d-1.6641108!16s%2Fg%2F11rw_p4tnf!19sChIJLa9dk3DfDkgRWrQvd-S8p-s?authuser=0&hl=fr&rclk=1,Chauffage Ecoplus,5,-15,Chauffagiste,24 Rue Pierre Varin de la Bruneliere,06 65 34 39 69,https://www.chauffage-ecoplus-rennes.fr/
https://www.google.com/maps/place/MAC%C3%89+-+FROG%C3%89/data=!4m7!3m6!1s0x480edf245894b817:0x4bb8f26722aeb4c9!8m2!3d48.1006282!4d-1.6292216!16s%2Fg%2F1tl9lzsv!19sChIJF7iUWCTfDkgRybSuImfyuEs?authuser=0&hl=fr&rclk=1,MACÉ - FROGÉ,"4,2",-136,Chauffagiste,·,02 99 33 78 01,https://www.axenergie.eu/agences/108-mace-froge
https://www.google.com/maps/place/Compagnie+de+Chauffage+et+Climatisation/data=!4m7!3m6!1s0x480ede33f5beacb1:0xd7ae7aff0ecebe6c!8m2!3d48.1102738!4d-1.6344654!16s%2Fg%2F1tnl0t12!19sChIJsay-9TPeDkgRbL7ODv96rtc?authuser=0&hl=fr&rclk=1,Compagnie de Chauffage et Climatisation,"4,6",-20,Fournisseur de systèmes de climatisation,166 Av. Chardonnet,02 99 36 95 07,https://www.compagnie-chauffage-climatisation-rennes.fr/
"https://www.google.com/maps/place/Grange+et+Fils,+Philippe+%26+Valentin/data=!4m7!3m6!1s0x480edfcfa36b7635:0xc3571525232daa3c!8m2!3d48.0993416!4d-1.6825334!16s%2Fg%2F11btlsklhc!19sChIJNXZro8_fDkgRPKotIyUVV8M?authuser=0&hl=fr&rclk=1","Grange et Fils, Philippe & Valentin","4,9",-92,Chauffagiste,32 Rue André Desilles,06 72 37 64 28,
https://www.google.com/maps/place/DLF+35/data=!4m7!3m6!1s0x480ee023aac67d79:0x1c5d36c3e75306bd!8m2!3d48.0743848!4d-1.7185909!16s%2Fg%2F11hbfhwbb7!19sChIJeX3GqiPgDkgRvQZT58M2XRw?authuser=0&hl=fr&rclk=1,DLF 35,"4,3",-38,Plombier,"Airparc 3, 3 Rue Jacqueline Auriol ZAC Airland",02 99 32 36 09,https://www.dlf35.com/
https://www.google.com/maps/place/Artisan+Breton+Assistance+D%C3%A9pannage/data=!4m7!3m6!1s0x480f20b76a513ec9:0x9297f66976c3b206!8m2!3d48.0909611!4d-1.6369346!16s%2Fg%2F113j6jpnf!19sChIJyT5RarcgD0gRBrLDdmn2l5I?authuser=0&hl=fr&rclk=1,Artisan Breton Assistance Dépannage,"4,5",-10,Plombier,33 Rue Baudri de Bourgueil,02 23 27 82 30,http://www.artisan-breton-assistance-depannage.fr/
https://www.google.com/maps/place/Allo+Mario/data=!4m7!3m6!1s0x480ede2b3edd6663:0x11b95ca28f775e92!8m2!3d48.1084803!4d-1.6923843!16s%2Fg%2F1tx14s1k!19sChIJY2bdPiveDkgRkl53j6JcuRE?authuser=0&hl=fr&rclk=1,Allo Mario,"4,5",-137,Plombier,81 Mail François Mitterrand,06 66 89 40 73,http://www.allomario.fr/
https://www.google.com/maps/place/Pannetier+HVE+-+Chaudi%C3%A8re+Rennes/data=!4m7!3m6!1s0x480edf174f6b80bb:0xe9d945f9419c48bc!8m2!3d48.0954913!4d-1.6347087!16s%2Fg%2F1v4k5xpq!19sChIJu4BrTxffDkgRvEicQflF2ek?authuser=0&hl=fr&rclk=1,Pannetier HVE - Chaudière Rennes,"3,6",-12,Fournisseur d'équipements de chauffage,5 All. de la Bourgonnette,02 99 32 16 28,
https://www.google.com/maps/place/Bedier+Gildas/data=!4m7!3m6!1s0x480edfb8d5966df3:0x4e5b84f169139d98!8m2!3d48.0964268!4d-1.6675251!16s%2Fg%2F1w4vj9xx!19sChIJ822W1bjfDkgRmJ0TafGEW04?authuser=0&hl=fr&rclk=1,Bedier Gildas,"4,8",-23,Chauffagiste,40 Rue Bigot de Préameneu,02 99 32 22 32,https://www.facebook.com/Plomberie-Bedier-563108277054655/?utm_source=gmb
https://www.google.com/maps/place/AYALIS+POMPE+%C3%80+CHALEUR+ET+CLIMATISATION/data=!4m7!3m6!1s0x480edff5b31f3daf:0xe6ac70710663ae38!8m2!3d48.1014895!4d-1.6312603!16s%2Fg%2F11j07vx963!19sChIJrz0fs_XfDkgROK5jBnFwrOY?authuser=0&hl=fr&rclk=1,AYALIS POMPE À CHALEUR ET CLIMATISATION,"4,9",-136,Chauffagiste,·,02 23 45 95 39,https://ayalis.fr/
https://www.google.com/maps/place/EURL+BOISRAME+COURSELAUD/data=!4m7!3m6!1s0x480edfaadc1353a9:0xc13891599ec743af!8m2!3d48.0959115!4d-1.6698499!16s%2Fg%2F11gsbgpkn4!19sChIJqVMT3KrfDkgRr0PHnlmROME?authuser=0&hl=fr&rclk=1,EURL BOISRAME COURSELAUD,"4,7",-14,Chauffagiste,19 Rue Glais Bizoin,02 99 50 41 63,http://www.boisrame-courselaud.fr/
https://www.google.com/maps/place/Chauffagiste+IZI+confort+Rennes/data=!4m7!3m6!1s0x480edfbefe1709e1:0x8f113b752fe41ce2!8m2!3d48.1045148!4d-1.6316188!16s%2Fg%2F11sy1mctqd!19sChIJ4QkX_r7fDkgR4hzkL3U7EY8?authuser=0&hl=fr&rclk=1,Chauffagiste IZI confort Rennes,"3,7",-728,Chauffagiste,3 Rue de Bray,02 99 22 76 76,https://www.izi-by-edf-entretien.fr/?at_medium=Gmb&at_campaign=rennes
https://www.google.com/maps/place/Atouts+Plus+Plomberie/data=!4m7!3m6!1s0x480ede35dc81e9fb:0xfd43948286d86ac4!8m2!3d48.1123028!4d-1.67651!16s%2Fg%2F1tkl2qch!19sChIJ--mB3DXeDkgRxGrYhoKUQ_0?authuser=0&hl=fr&rclk=1,Atouts Plus Plomberie,"4,2",-12,Plombier,6 Rue Victor Hugo,06 11 07 04 45,http://www.atoutsplus.fr/
https://www.google.com/maps/place/BEN+ASSISTANCE+35/data=!4m7!3m6!1s0x3dea2129a276f35:0x70fd94cea5c36d92!8m2!3d48.1152151!4d-1.6787976!16s%2Fg%2F11ybd4qj9_!19sChIJNW8nmhKi3gMRkm3Dpc6U_XA?authuser=0&hl=fr&rclk=1,BEN ASSISTANCE 35,"4,8",-25,Chauffagiste,3 Pass. des Carmélites,06 37 68 17 55,http://www.benassistance92.fr/
